"name","slug","desc","totRating","avgRating","totLearningMentorshipRating","avgLearningMentorshipRating","totMeaningfulWorkRating","avgMeaningfulWorkRating","totWorkLifeBalanceRating","avgWorkLifeBalanceRating","logoSrc","uniqueIdentifier","numRatings"
"Vena Solutions","vena-solutions","Vena Solutions offers SaaS-based enterprise performance management solutions for mission-critical finance and accounting processes.",8,"4.0",9,"4.5",8,"4.0",9,"4.5","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1397181377/9f105dccc9f59861cbaded98f4a15723.jpg","c105",2
"Universe","universe",,10,"5.0",10,"5.0",10,"5.0",10,"5.0",,"c314",2
"exactEarth Ltd","exactearth-ltd",,5,"5.0",3,"3.0",5,"5.0",5,"5.0",,"c369",1
"IBM","ibm","IBM manufactures and markets computer hardware, middleware and software, and offers hosting and consulting services in areas ranging from mainframe computers to nanotechnology.",44,"3.7",43,"3.6",40,"3.3",55,"4.6","https://pbs.twimg.com/profile_images/818463874471067648/tEThY0fk_400x400.jpg","c84",12
"Zuora","zuora",,4,"4.0",4,"4.0",4,"4.0",5,"5.0",,"c318",1
"Shippo","shippo",,5,"5.0",4,"4.0",5,"5.0",1,"1.0",,"c329",1
"Evernote","evernote","Evernote is a suite of software and services that allow users to capture, organize, and find information across multiple platforms.",5,"5.0",4,"4.0",5,"5.0",5,"5.0","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1469791733/rlxmntcw04ynogihq845.png","c13",1
"Snapchat","snapchat","Snapchat is a photo messaging app that allows users to take photos, record videos, add text and drawings, and send them to recipients.",38,"4.2",38,"4.2",39,"4.3",38,"4.2","https://lh4.ggpht.com/vdK_CsMSsJoYvJpYgaj91fiJ1T8rnSHHbXL0Em378kQaaf_BGyvUek2aU9z2qbxJCAFV=w300","c42",9
"Asana","asana","Asana is a web and mobile application designed to help teams improve communication, organization and collaboration.",20,"5.0",20,"5.0",18,"4.5",20,"5.0","https://pbs.twimg.com/profile_images/684147210569662464/8j38fY3D.png","c7",4
"Wave Financial","wave-financial",,10,"5.0",10,"5.0",8,"4.0",10,"5.0",,"c350",2
"Dropbox","dropbox","Dropbox's mission is to provide a home for everyone's most important information and bring it to life.",5,"5.0",5,"5.0",5,"5.0",5,"5.0","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1412848781/ub44kt96u00ampxwdoqh.png","c12",1
"A Thinking Ape","a-thinking-ape","A Thinking Ape owns and operates Chatterous, a communications service that allows groups of friends to stay in contact with one another.",27,"4.5",26,"4.3",29,"4.8",28,"4.7","https://imgur.com/UxJfhdK.jpg","c67",6
"Nvidia","nvidia","Nvidia manufactures integrated circuits for use in motherboard chip-sets, graphic processing units and game consoles.",46,"4.6",45,"4.5",42,"4.2",45,"4.5","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1475088526/jxf78cwavratiapxwsvq.jpg","c30",10
"Yahoo!","yahoo","Yahoo! is an American multinational technology company headquartered in Sunnyvale, California.",48,"4.8",48,"4.8",44,"4.4",49,"4.9","https://pbs.twimg.com/profile_images/747326716746444800/IRfRHRaE_400x400.jpg","c57",10
"Capcom","capcom","Capcom is a Japanese manufacturer and distributor of video games and electronic game machines engaged in the digital content business.",8,"4.0",7,"3.5",9,"4.5",8,"4.0","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1397183382/6719dc18d2a03c266ca22b8f488e4b56.png","c108",2
"Finastra","finastra",,8,"4.0",9,"4.5",9,"4.5",10,"5.0",,"c313",2
"Apple","apple","Apple is a multinational corporation that designs, manufactures, and markets consumer electronics, personal computers, and software.",27,"3.9",28,"4.0",25,"3.6",28,"4.0","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1411584838/z5utpyzqil1rznbizd65.png","c5",7
"Salesforce","salesforce","Salesforce is a global cloud computing company that develops CRM solutions and provides business software on a subscription basis.",34,"4.9",33,"4.7",31,"4.4",34,"4.9","https://pbs.twimg.com/profile_images/716283264881700865/voT_NePC_400x400.jpg","c38",7
"Uber","uber","Uber is a mobile app connecting passengers with drivers for hire.",56,"4.7",56,"4.7",56,"4.7",46,"3.8","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1454467659/eee4qfnl0fj0a08sjkq0.png","c52",12
"Square","square","Square is a merchant services aggregator and mobile payment company that aims to simplify commerce through technology.",23,"4.6",22,"4.4",23,"4.6",24,"4.8","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1474910707/vtbgupsulv6ijpidpxdw.jpg","c44",5
"Postmates","postmates",,1,"1.0",1,"1.0",2,"2.0",1,"1.0",,"c380",1
"FreshBooks","freshbooks","FreshBooks, cloud-based accounting software, allows owners to invoice clients, track time and run their small businesses in the cloud.",16,"4.0",19,"4.8",14,"3.5",19,"4.8","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1397184125/561f8eb62f8ec69550a43748aa020343.png","c65",4
"BlackBerry","blackberry","Formerly known as Research In Motion Limited (RIM), BlackBerry is a Canadian-based multinational wireless telecommunications software and mobile hardware company best known to the general public as the developer of the BlackBerry brand of smartphones and tablets, but is transitioning to becoming a worldwide provider of software for industrial applications and mobile device management.",41,"4.1",48,"4.8",39,"3.9",44,"4.4","https://imgur.com/cQ5YNMk.jpg","c62",10
"Scribd","scribd",,5,"5.0",4,"4.0",5,"5.0",5,"5.0",,"c370",1
"Tesla Motors","tesla-motors","Tesla Motors is an American automaker and energy storage company in Palo Alto, California. The company specializes in electric cars and their powertrain components and also produces battery charging equipment.",12,"4.0",14,"4.7",15,"5.0",10,"3.3","https://pbs.twimg.com/profile_images/489192650474414080/4RxZxsud.png","c220",3
"Loyalty One","loyalty-one","LoyaltyOne, Co. is a global provider of loyalty marketing and programs to enterprises in the retail, financial services, grocery, petroleum retail, travel, and hospitality sectors.",22,"4.4",21,"4.2",19,"3.8",25,"5.0","https://pbs.twimg.com/profile_images/459012814678409217/3aA-fadi.jpeg","c176",5
"LoyaltyOne","loyaltyone",,0,"0.0",0,"0.0",0,"0.0",0,"0.0",,"c371",0
"Adobe Inc.","adobe-inc",,5,"5.0",5,"5.0",5,"5.0",5,"5.0",,"c381",1
"Bank of Montreal","bank-of-montreal","BMO is one of the Big Five banks in Canada. It is the fourth-largest bank in Canada by market capitalization and based on assets, and among the ten largest banks in North America.",12,"2.4",11,"2.2",12,"2.4",17,"3.4","https://pbs.twimg.com/profile_images/797833739795595264/KHzGCVxn_400x400.jpg","c133",5
