"name","slug","desc","totRating","avgRating","totLearningMentorshipRating","avgLearningMentorshipRating","totMeaningfulWorkRating","avgMeaningfulWorkRating","totWorkLifeBalanceRating","avgWorkLifeBalanceRating","logoSrc","uniqueIdentifier","numRatings"
"Intercom","intercom","A fundamentally new way to communicate with your customers",5,"5.0",4,"4.0",5,"5.0",3,"3.0","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1444670820/w2kggum5wsqoaccrsyhw.png","c68",1
"Encircle","encircle","Encircle helps organizations to empower their workforce with easy to use process automation tools that allow them to collaborate, collect and share information.",10,"5.0",10,"5.0",10,"5.0",9,"4.5","https://pbs.twimg.com/profile_images/781331721484546049/Ws0z8nEU.jpg","c209",2
"Lookout","lookout","Protecting individuals and enterprises, Lookout predicts and stops mobile attacks before they do harm.",4,"4.0",4,"4.0",3,"3.0",5,"5.0","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1397195991/b64ee553cbd34ce9470d0879c1ce2a1f.png","c25",1
"Connected Lab","connected-lab",,5,"5.0",5,"5.0",5,"5.0",5,"5.0",,"c325",1
"MD Financial Management","md-financial-management","",5,"2.5",6,"3.0",4,"2.0",8,"4.0","https://pbs.twimg.com/profile_images/544445418096963587/GDjUml2C_400x400.jpeg","c88",2
"Milliman","milliman","Milliman is an independent actuarial and consulting firm with consulting practices on employee benefits, investment, healthcare, and more.",4,"4.0",4,"4.0",3,"3.0",5,"5.0","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1425986616/x44gunejyupryxfohsvz.png","c74",1
"Sunnybrook Research Institute","sunnybrook-research-institute","",5,"5.0",5,"5.0",5,"5.0",5,"5.0","https://pbs.twimg.com/profile_images/750329114058448896/277DZMRF_400x400.jpg","c78",1
"Venmo","venmo","Venmo offers an app that allows users to share and make payments with friends for a variety of services from.",5,"5.0",5,"5.0",5,"5.0",5,"5.0","https://pbs.twimg.com/profile_images/581553193273839617/R6CiH9Il_400x400.png","c53",1
"Zynga","zynga","",22,"4.4",20,"4.0",19,"3.8",25,"5.0","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1397183038/a3b789ce33fc65f128c70d7e81504641.jpg","c61",5
"Wingify","wingify",,5,"5.0",4,"4.0",5,"5.0",5,"5.0",,"c184",1
"MNP","mnp",,2,"2.0",4,"4.0",3,"3.0",1,"1.0",,"c356",1
"Hipstreet","hipstreet","Hipstreet electronics brings you the latest selection of products to enhance your digital lifestyle needs. ",2,"2.0",3,"3.0",1,"1.0",3,"3.0","https://pbs.twimg.com/profile_images/627193185886801920/Iy1H1NUK_400x400.png","c79",1
"Givery, Inc.","givery-inc","Givery develops various businesses that support customers' growth in IT.",3,"3.0",2,"2.0",3,"3.0",5,"5.0","https://avatars2.githubusercontent.com/u/8820315?v=3&s=200","c178",1
"GroupBy","groupby",,5,"5.0",5,"5.0",5,"5.0",5,"5.0",,"c358",1
"The League","the-league",,0,"0.0",0,"0.0",0,"0.0",0,"0.0",,"c360",0
"Google","google","Google is a multinational corporation that is specialized in internet-related services and products.",61,"4.7",64,"4.9",56,"4.3",57,"4.4","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1441152509/jpwjd07xo0ycgumam7as.png","c17",13
"Credit Union Central of Canada","credit-union-central-of-canada","",5,"5.0",5,"5.0",5,"5.0",5,"5.0","https://www.central1.com/sites/default/files/uploads/Hands_%26_Globe.jpg","c167",1
"National Institute for Materials Science","nims","NIMS is an Independent Administrative Institution and one of the largest scientific research centers in Japan.",4,"4.0",5,"5.0",5,"5.0",4,"4.0","","c134",1
"A9","a9","A9, a subsidiary of Amazon.com, develops product search and advertising technology.",17,"4.3",17,"4.3",18,"4.5",19,"4.8","https://qph.ec.quoracdn.net/main-thumb-t-19209-200-QPHMXMBuZ8vB7DfLcToCqCvWaLwdLGWb.jpeg","c1",4
"Blitzen","blitzen","Blitzen gives SMB marketers the power to convert website visitors into data-rich leads and capture key customer insights.",4,"4.0",4,"4.0",4,"4.0",5,"5.0","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1419655039/bjcchpptcw1qdkcamtka.png","c96",1
"Quizlet","quizlet","Quizlet is building great learning tools for every student on the planet.",10,"5.0",10,"5.0",9,"4.5",10,"5.0","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1470856981/fwanigqbp8itwazjjfhn.png","c36",2
"Interset","interset",,12,"4.0",10,"3.3",11,"3.7",15,"5.0",,"c186",3
"Goldman Sachs","goldman-sachs","Goldman Sachs is an American multinational finance company that engages in global investment banking, investment management, securities, and other financial services, primarily with institutional clients.",3,"3.0",2,"2.0",3,"3.0",5,"5.0","https://pbs.twimg.com/profile_images/465954359583322112/mvHVOgH8_400x400.jpeg","c93",1
"eHealth Ontario","ehealth-ontario","",4,"4.0",4,"4.0",4,"4.0",5,"5.0","https://media.glassdoor.com/sqll/321312/ehealth-ontario-squarelogo.png","c168",1
"Capco","capco","Global Biz & Tech Consultancy focusing on Financial Services",68,"4.9",68,"4.9",65,"4.6",63,"4.5","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1420633646/x6eqgyikjgadpz02droi.jpg","c118",14
"Datadog","datadog",,10,"5.0",10,"5.0",10,"5.0",8,"4.0",,"c335",2
"Palette Gear","palette-gear","Palette manufactures a modular hardware interface that allows users to design controllers for software.",5,"2.5",5,"2.5",5,"2.5",6,"3.0","https://crunchbase-production-res.cloudinary.com/image/upload/c_pad,h_140,w_140/v1397194180/e608d3f66e03453d03c0683a0a011015.png","c89",2
"ScribbleLive","scribblelive",,3,"3.0",2,"2.0",1,"1.0",4,"4.0",,"c185",1
"Indigenous and Northern Affairs ","indigenous-and-northern-affairs",,3,"3.0",4,"4.0",3,"3.0",5,"5.0",,"c340",1
"500px","500px",,0,"0.0",0,"0.0",0,"0.0",0,"0.0",,"c266",0
"Axiom Zen","axiom-zen",,4,"4.0",4,"4.0",3,"3.0",5,"5.0",,"c268",1
"Compass","compass",,0,"0.0",0,"0.0",0,"0.0",0,"0.0",,"c267",0
"KPMG","kpmg",,0,"0.0",0,"0.0",0,"0.0",0,"0.0",,"c269",0
"if(we)","ifwe",,0,"0.0",0,"0.0",0,"0.0",0,"0.0",,"c270",0
"Luxe","luxe",,0,"0.0",0,"0.0",0,"0.0",0,"0.0",,"c271",0
"Vine","vine","Vine is an online platform that enables users to create short looping video clips for friend and family.",10,"5.0",9,"4.5",9,"4.5",10,"5.0","https://vine.co/static/images/vine_glyph_2x.png","c54",2
"Sony Interactive Entertainment","sony-interactive-entertainment",,6,"3.0",7,"3.5",4,"2.0",9,"4.5",,"c231",2
"TextNow","textnow","TextNow is the world’s first all-ip cloud-based phone carrier.",38,"4.2",39,"4.3",40,"4.4",40,"4.4","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1457553951/hkrpi0kplfvpydy4wqti.png","c66",9
"Rave","rave","Watch your favourite videos with friends in perfect sync, anytime, anywhere!",5,"2.5",2,"1.0",5,"2.5",8,"4.0","https://media.licdn.com/mpr/mpr/shrink_200_200/AAEAAQAAAAAAAAg5AAAAJDJiNWJmZWNjLWM1YTUtNDBmYy04Zjc4LTMzOGRhMzA4OGE5Ng.png","c120",2
"Voxel8","voxel8",,5,"5.0",5,"5.0",5,"5.0",5,"5.0",,"c187",1
"Autonomic","autonomic",,10,"5.0",10,"5.0",10,"5.0",9,"4.5",,"c374",2
"Deloitte LLP","deloitte-llp","",7,"3.5",8,"4.0",6,"3.0",4,"2.0","https://pbs.twimg.com/profile_images/743125134488133632/A6m8GKqW_400x400.jpg","c135",2
"Sony","sony","Sony Australia is the Australian arm of Sony that designs and develops electronic equipment, instruments, and devices.",4,"4.0",4,"4.0",3,"3.0",4,"4.0","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1411511656/uiuethkebhfjlu3rbfds.png","c107",1
"Ontario Institute for Cancer Research","oicr","The Ontario Institute for Cancer Research is a translational research centre dedicated to better prevention, early detection, diagnosis & treatment of cancer.",4,"4.0",4,"4.0",3,"3.0",3,"3.0","https://pbs.twimg.com/profile_images/1992936039/avatar_400x400.jpg","c115",1
"Formlabs","formlabs",,5,"5.0",5,"5.0",5,"5.0",5,"5.0",,"c188",1
"Tulip Retail","tulip-retail","Tulip Retail is an iOS mobile platform built exclusively for next generation retail store associates to offer a world-class omnichannel experience.",4,"4.0",5,"5.0",4,"4.0",4,"4.0","https://media.licdn.com/mpr/mpr/shrink_200_200/AAEAAQAAAAAAAAKoAAAAJGE2MGJiYTU3LTdkMWEtNGQ1NS05ZDFjLTYxNDVjN2UxNDZkYw.png","c179",1
"Bidvine","bidvine","Bidvine is the easiest way to find and hire local professionals to help accomplish your projects. Learn something new, redecorate your home, feel better, feel fitter, throw a great party - and more.",9,"4.5",7,"3.5",10,"5.0",8,"4.0","https://www.bidvine.com/blog/wp-content/uploads/2016/05/cropped-logo-purple-300px-1.png","c100",2
"Benchling","benchling","",5,"5.0",5,"5.0",5,"5.0",4,"4.0","https://main.bnchcdn.com/static/img/logo_250_notext.png","c128",1
"Databricks","databricks",,5,"5.0",5,"5.0",5,"5.0",4,"4.0",,"c336",1
"Informatica","informatica","Informatica LLC is the world’s No. 1 provider of Data Management Solutions, in the Cloud, on-premise or in a Hybrid Environment.",5,"5.0",5,"5.0",4,"4.0",5,"5.0","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1422998995/o2kqcvsfqsmbesdlinnb.jpg","c119",1
"Figma","figma","The Collaborative Interface Design Tool",5,"5.0",5,"5.0",5,"5.0",5,"5.0","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1449172108/pd1hxpiw7a3qmqvcpx3e.png","c103",1
"Canadian Blood Services","canadian-blood-services","Canadian Blood Services is a national, not-for-profit charitable organization that manages the blood supply in all provinces and territories of Canada, outside of Quebec, and oversees the OneMatch Stem Cell and Marrow Network (formerly Unrelated Bone Marrow Donor Registry) and is taking steps to increase transplant opportunities for patients by collecting and storing umbilical cord blood stem cells from Canadian donors.",1,"1.0",1,"1.0",1,"1.0",2,"2.0","https://pbs.twimg.com/profile_images/595318668545826817/5cW-6gJr.png","c124",1
"University of Toronto","university-of-toronto","",12,"4.0",15,"5.0",12,"4.0",10,"3.3","https://pbs.twimg.com/profile_images/464851371296972800/6fpV0cvu_400x400.png","c137",3
"Zurapps Research","zurapps-research",,1,"1.0",1,"1.0",2,"2.0",1,"1.0",,"c211",1
"University of Guelph","university-of-guelph","The University of Guelph (U of G) is a comprehensive public research university in Guelph, Ontario, Canada.",4,"4.0",5,"5.0",4,"4.0",4,"4.0","https://pbs.twimg.com/profile_images/459399522515292160/Ub9h5BTa_400x400.jpeg","c150",1
"Suncor Energy","suncor-energy",,4,"4.0",3,"3.0",5,"5.0",4,"4.0",,"c301",1
"BitTitan","bittitan","BitTitan provides cloud solutions that simplify and improve IT activities for businesses, governments, healthcare providers.",4,"4.0",3,"3.0",4,"4.0",5,"5.0","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1402745309/kgefl2d4ansgfafi0scd.png","c101",1
"Pinterest","pinterest","Pinterest is a visual bookmarking tool for saving and discovering creative ideas.",5,"5.0",5,"5.0",5,"5.0",5,"5.0","https://pbs.twimg.com/profile_images/622086313764745216/T3KEBemO_400x400.png","c34",1
"Trans-Plan","trans-plan","TRANS PLAN INC is a Canadian professional traffic and Transportation Engineering Company that creates thoughtful plans for movement in urban environments.",2,"2.0",1,"1.0",2,"2.0",3,"3.0","https://pbs.twimg.com/profile_images/751524067543580672/uDXqmT6y.jpg","c144",1
"Intel","intel","Intel designs, manufactures, and sells integrated digital technology platforms worldwide.",5,"5.0",5,"5.0",5,"5.0",5,"5.0","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1397180325/f504461affd50c53b19e98f7c5dcd3ac.jpg","c20",1
"Plangrid","plangrid",,15,"5.0",15,"5.0",14,"4.7",14,"4.7",,"c354",3
"Coinbase","coinbase","A digital currency wallet service that allows for you to buy and sell bitcoin.",14,"4.7",10,"3.3",14,"4.7",13,"4.3","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1449482641/iuqglzcxmhuslkuo6etl.png","c114",3
"Nano One","nano-one",,4,"4.0",4,"4.0",5,"5.0",4,"4.0",,"c341",1
"Thalmic Labs","thalmic-labs",,0,"0.0",0,"0.0",0,"0.0",0,"0.0",,"c273",0
"Atomic","atomic",,0,"0.0",0,"0.0",0,"0.0",0,"0.0",,"c274",0
"Manulife Financial","manulife-financial",,0,"0.0",0,"0.0",0,"0.0",0,"0.0",,"c275",0
"Nest","nest",,0,"0.0",0,"0.0",0,"0.0",0,"0.0",,"c276",0
"N8 Identity","n8-identity","Identity and access management",8,"4.0",8,"4.0",7,"3.5",9,"4.5","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1397194092/a147d5b6a6e936ad9c9e131a14363b09.jpg","c94",2
"Sanofi Pasteur","sanofi-pasteur","Sanofi Pasteur SA develops, manufactures, and supplies vaccines in France and internationally.",4,"4.0",3,"3.0",3,"3.0",4,"4.0","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1474976449/c5dkv0kzaxftpyam95ln.jpg","c92",1
"Heap","heap","",5,"5.0",5,"5.0",5,"5.0",5,"5.0","https://heapanalytics.com/img/logoDark.png","c307",1
"LimeBike","limebike",,5,"5.0",5,"5.0",5,"5.0",5,"5.0",,"c320",1
"Fresh Prints","fresh-prints","",3,"3.0",3,"3.0",4,"4.0",1,"1.0","https://media.glassdoor.com/sqll/1086482/fresh-prints-squarelogo-1458669773379.png","c295",1
"PricewaterhouseCoopers (PwC)","pricewaterhousecoopers-pwc",,8,"2.7",10,"3.3",7,"2.3",8,"2.7",,"c272",3
"WorkMarket","workmarket",,4,"4.0",4,"4.0",3,"3.0",5,"5.0",,"c357",1
"Splunk","splunk",,3,"3.0",3,"3.0",3,"3.0",3,"3.0",,"c359",1
"Linamar","linamar",,4,"4.0",4,"4.0",3,"3.0",3,"3.0",,"c321",1
"Kinaxis","kinaxis",,5,"5.0",5,"5.0",4,"4.0",5,"5.0",,"c361",1
"Odyssey Re","odyssey-re","Odyssey Re is an underwriter of property and casualty treaty and facultative reinsurance, as well as specialty insurance.",4,"4.0",5,"5.0",4,"4.0",5,"5.0","https://media.glassdoor.com/sql/18253/odysseyre-squarelogo-1436297847565.png","c132",1
"Customer Marketing Group","customer-marketing-group","Customer Marketing Group provides episodic support that is tailored to help clients make decisions that achieve their financial objectives in marketing, sales, finance and logistics. ",5,"5.0",5,"5.0",5,"5.0",5,"5.0","https://media.licdn.com/media/p/1/000/115/034/0b6f2ad.png","c159",1
"Zugata","zugata",,10,"5.0",9,"4.5",10,"5.0",10,"5.0",,"c303",2
"Toronto Transit Commission","ttc","The TTC  is a public transport agency that operates transit bus, streetcar, paratransit, and subway services in Toronto, Ontario, Canada.",4,"4.0",4,"4.0",4,"4.0",5,"5.0","https://pbs.twimg.com/profile_images/378800000335236616/2f8b9119aac5bc648e8b88ca1981e6c3_400x400.jpeg","c141",1
"AMD","amd","Advanced Micro Devices, Inc. (AMD) is an American multinational semiconductor company based in Sunnyvale, California, United States, that develops computer processors and related technologies for business and consumer markets.",4,"4.0",4,"4.0",5,"5.0",4,"4.0","https://pbs.twimg.com/profile_images/420944512672755712/ojLaLJs8_400x400.png","c140",1
"PagerDuty","pagerduty","PagerDuty is an operations performance platform delivering visibility and actionable intelligence across the entire incident lifecycle.",23,"4.6",25,"5.0",21,"4.2",24,"4.8","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1412797035/wnxq8kofwal2uo3pjzhu.png","c95",5
"University of Waterloo","university-of-waterloo","The University of Waterloo is a public research university with a main campus located in Waterloo, Ontario. The university offers academic programs administered by six faculties and ten faculty-based schools. The university also operates four satellite campuses and four affiliated university colleges.",10,"5.0",9,"4.5",9,"4.5",10,"5.0","https://upload.wikimedia.org/wikipedia/en/0/03/Uwaterloo_seal.gif","c147",2
"Wattpad","wattpad","Wattpad is a free app that lets people discover and share stories about the things they love.",12,"4.0",11,"3.7",12,"4.0",13,"4.3","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1397751387/1b0c842bc7284342656149ec4465cd93.png","c64",3
"OpenText","opentext","",12,"4.0",13,"4.3",10,"3.3",12,"4.0","","c279",3
"Coho Data","coho-data","The Coho Data platform is the only enterprise storage solution that delivers the invisibility of cloud with true scale-out performance.",4,"4.0",4,"4.0",3,"3.0",4,"4.0","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1464593989/a8079953zxmn7gb4xzav.png","c125",1
"Minted","minted","Minted is a venture-backed social commerce company that crowdsources graphic designs and content from a global design community.",16,"4.0",16,"4.0",14,"3.5",20,"5.0","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1397190424/52689256f8c607c80a5586f5761a9399.jpg","c28",4
"Skidmore, Owings, and Merrill","skidmore-owings-and-merrill","Skidmore, Owings & Merrill LLP (SOM) is an American architectural, urban planning, and engineering firm.",4,"4.0",4,"4.0",2,"2.0",2,"2.0","https://upload.wikimedia.org/wikipedia/en/7/77/SOM_Square_Logo_Uploaded_2014.png","c146",1
"invision ai","invision-ai",,5,"5.0",5,"5.0",5,"5.0",5,"5.0",,"c362",1
"Kanjoya Inc.","kanjoya-inc","",3,"3.0",2,"2.0",2,"2.0",5,"5.0","","c171",1
"Vidyard","vidyard","Vidyard is a video marketing platform enabling customers to derive information on viewer-behavior for marketing automation systems and CRM.",4,"4.0",4,"4.0",4,"4.0",5,"5.0","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1482367431/aj0mbi2n9lmod2tmku9u.jpg","c169",1
"Cognite","cognite",,5,"5.0",5,"5.0",5,"5.0",5,"5.0",,"c337",1
"Mesosphere","mesosphere",,4,"4.0",4,"4.0",5,"5.0",3,"3.0",,"c244",1
"City of Markham","city-of-markham","Markham is a city in the Regional Municipality of York within the Greater Toronto Area of Southern Ontario, Canada.",4,"4.0",4,"4.0",5,"5.0",5,"5.0","https://pbs.twimg.com/profile_images/3257895813/beaf46db0c83e4ba6b112bf3a531dbc5_400x400.png","c149",1
"infor","infor",,3,"3.0",3,"3.0",5,"5.0",5,"5.0",,"c375",1
"Toast Inc.","toast-inc","",14,"3.5",17,"4.3",13,"3.3",15,"3.8","","c170",4
"Strava","strava","",3,"3.0",3,"3.0",4,"4.0",5,"5.0","https://lh4.ggpht.com/GgmEZM4x4Z-Qk3OHqTxT39CoTpVS8_d4-pzaZN487inmaBPhYdqwVPmNDHSZMS1POzaZ=w300-rw","c129",1
"Blue J Legal","blue-j-legal",,5,"5.0",5,"5.0",5,"5.0",5,"5.0",,"c245",1
"Remind","remind",,0,"0.0",0,"0.0",0,"0.0",0,"0.0",,"c277",0
"Citigroup","citigroup","",4,"4.0",2,"2.0",5,"5.0",5,"5.0","","c232",1
"Digiflare","digiflare",,0,"0.0",0,"0.0",0,"0.0",0,"0.0",,"c278",0
"Zenefits","zenefits","Zenefits helps you manage and automate all your HR—from payroll to benefits—in one beautiful online dashboard.",18,"4.5",18,"4.5",19,"4.8",13,"3.3","https://pbs.twimg.com/profile_images/666340499469393920/Ef3DMnUe_400x400.jpg","c60",4
"Nielsen","nielsen","Nielsen Holdings is a global information and measurement company that helps businesses better understand their markets.",6,"3.0",5,"2.5",4,"2.0",8,"4.0","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1397181112/87de812f5cb9a7999660758bcb94255d.png","c157",2
"Tumblr","tumblr",,4,"4.0",3,"3.0",2,"2.0",5,"5.0",,"c344",1
"TD Bank Group","td-bank-group",,5,"5.0",4,"4.0",5,"5.0",4,"4.0",,"c328",1
"Palantir","palantir","Palantir is a private American software and services company headquartered in Palo Alto, California which specializes in big data analysis.",16,"4.0",16,"4.0",16,"4.0",14,"3.5","https://pbs.twimg.com/profile_images/666784323501211649/-nzsuC6W_400x400.png","c32",4
"UseMyServices","usemyservices","UMS provides secure options to pay for goods and services online directly from your bank account.",2,"2.0",2,"2.0",2,"2.0",3,"3.0","https://pbs.twimg.com/profile_images/598492975295922176/45_OTbTC_400x400.png","c87",1
"Stripe","stripe","A set of unified APIs and tools that instantly enable businesses to accept and manage online payments.",10,"5.0",10,"5.0",10,"5.0",10,"5.0","https://pbs.twimg.com/profile_images/778378996580888577/MFKh-pNn_400x400.jpg","c45",2
"Department of Research and Development Canada","department-of-research-and-development-canada","Defence Research and Development Canada (DRDC) is the national leader in defence and security science and technology.",7,"3.5",2,"1.0",7,"3.5",10,"5.0","https://pbs.twimg.com/profile_images/537625264277028864/14jJPXpX.png","c70",2
"Quora","quora","Quora’s mission is to share and grow the world’s knowledge, a place where you can ask questions you care about and get amazing answers",10,"5.0",10,"5.0",10,"5.0",10,"5.0","https://qph.ec.quoracdn.net/main-qimg-31d4686e3ce2d9061d035952fd3138cd-c","c37",2
"Launchspot.io","launchspotio",,4,"4.0",4,"4.0",5,"5.0",5,"5.0",,"c282",1
"Yext","yext","Yext is the global location data management leader, helping 650,000+ businesses engage mobile consumers across 100+ publisher sites.",24,"4.8",24,"4.8",20,"4.0",22,"4.4","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1397749326/f04e5b5559a651bceb9025b5d7c67d87.png","c59",5
"College of Physicians and Surgeons of Ontario","college-of-physicians-and-surgeons-of-ontario","The College of Physicians and Surgeons of Ontario is the body that regulates the practice of medicine to protect and serve the public interest.",5,"5.0",5,"5.0",5,"5.0",5,"5.0","https://pbs.twimg.com/profile_images/3086973521/c03bf043776c57d6a88ab30b471efec1.jpeg","c161",1
"Intuit","intuit","Intuit offers business and financial management solutions for SMBs, financial institutions, consumers and accounting professionals.",0,"0.0",0,"0.0",0,"0.0",0,"0.0","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1475914079/wkal1pl2pubkloqn4ykj.png","c22",0
"Zazzle","zazzle",,5,"5.0",5,"5.0",5,"5.0",5,"5.0",,"c302",1
"Top Hat","top-hat","Top Hat’s interactive, cloud-based teaching platform enables professors to engage students with compelling content, tools and activities.",10,"5.0",10,"5.0",10,"5.0",10,"5.0","https://pbs.twimg.com/profile_images/3632826512/b6c6ccefdf7c66966d31a2c8e76f3e74_400x400.jpeg","c110",2
"Loblaw Digital","loblaw-digital","Loblaw Companies Limited is a Canadian food retailer that encompasses 1,000 corporate and franchise supermarkets that operates under 22 regional and market segment banners.",13,"4.3",12,"4.0",14,"4.7",14,"4.7","https://pbs.twimg.com/profile_images/659457802222571520/i6jHIE8p_400x400.jpg","c112",3
"AdRoll","adroll","AdRoll is a marketing platform enabling brands of all sizes to create personalized ad campaigns based on their own website data.",8,"4.0",9,"4.5",7,"3.5",10,"5.0","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1397186139/6108e3905987232a69d328ed6c915b77.jpg","c152",2
"Kabuni Technologies","kabuni-technologies","Monetizing mood boards for designers and artisans.",5,"5.0",5,"5.0",4,"4.0",4,"4.0","https://crunchbase-production-res.cloudinary.com/image/upload/c_pad,h_140,w_140/v1450675997/e3s6e6vgmcuqc56dlxg5.jpg","c75",1
"Redfin","redfin","",15,"5.0",15,"5.0",15,"5.0",15,"5.0","https://lh6.googleusercontent.com/-NGj0TOuIDVI/AAAAAAAAAAI/AAAAAAAADUw/ILNbH1Oeq2E/s0-c-k-no-ns/photo.jpg","c246",3
"PerkinElmer Labs","perkinelmer-labs",,4,"4.0",3,"3.0",4,"4.0",5,"5.0",,"c283",1
"Bespoke Metrics","bespoke-metrics",,7,"1.4",7,"1.4",10,"2.0",6,"1.2",,"c297",5
"Twitter","twitter","Twitter is an online news and social networking service where users post and read messages restricted to 140-characters, which are called ""tweets"".",5,"5.0",5,"5.0",4,"4.0",5,"5.0","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1397180207/d242197edc3ff044620cf2d8ff39d6b3.jpg","c50",1
"Habitat for Humanity Durham","habitat-for-humanity-durham","An ecumenical, grass-roots Christian housing ministry financed through private donations and utilizing volunteer labour to build and sell houses at no profit.",4,"4.0",5,"5.0",4,"4.0",5,"5.0","https://s-media-cache-ak0.pinimg.com/736x/87/40/d0/8740d02cff2b178230a3bb2d382d4511.jpg","c160",1
"Bench Accounting","bench-accounting",,5,"5.0",5,"5.0",5,"5.0",5,"5.0",,"c233",1
"Office for Metropolitan Architecture","office-for-metropolitan-architecture","The Office for Metropolitan Architecture (OMA) is a Dutch architectural firm based in Rotterdam.",4,"4.0",3,"3.0",5,"5.0",1,"1.0","https://media.glassdoor.com/sqll/594161/office-for-metropolitan-architecture-oma-squarelogo-1426756165737.png","c143",1
"Innovasium","innovasium",,5,"5.0",5,"5.0",4,"4.0",5,"5.0",,"c234",1
"D2L","d2l",,4,"4.0",4,"4.0",4,"4.0",5,"5.0",,"c247",1
"Flynn Group of Companies","flynn-group-of-companies",,4,"4.0",3,"3.0",5,"5.0",5,"5.0",,"c304",1
"CBC/Radio-Canada","cbcradiocanada",,4,"4.0",4,"4.0",4,"4.0",5,"5.0",,"c248",1
"5Crowd","5crowd",,2,"2.0",3,"3.0",3,"3.0",3,"3.0",,"c296",1
"Petuum Inc","petuum-inc",,5,"5.0",5,"5.0",5,"5.0",5,"5.0",,"c376",1
"Shopify","shopify","Shopify is the leading cloud-based, multichannel commerce platform designed for small and medium-sized businesses.",63,"4.5",61,"4.4",64,"4.6",68,"4.9","https://cdn.shopify.com/assets/images/logos/shopify-bag.png","c40",14
"Purolator ","purolator",,8,"4.0",8,"4.0",8,"4.0",10,"5.0",,"c251",2
"SkyWatch","skywatch","SkyWatch provides modern solutions for astronomical data, including tools for astronomers and astrophysicists.",8,"4.0",7,"3.5",10,"5.0",7,"3.5","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1466545223/qqtr8g0aenzliefeijwy.jpg","c174",2
"Paytm","paytm",,4,"4.0",4,"4.0",5,"5.0",3,"3.0",,"c249",1
"Canadian Tire","canadian-tire","Canadian Tire is a Canadian retail company which sells a wide range of automotive, sports and leisure, and home products. Some stores also sell toys and food products.",4,"4.0",3,"3.0",5,"5.0",5,"5.0","https://pbs.twimg.com/profile_images/727128805622599680/EaCk7f2__400x400.jpg","c153",1
"Ciena","ciena",,5,"5.0",5,"5.0",4,"4.0",5,"5.0",,"c250",1
"Groupon","groupon","Groupon is a deal-of-the-day website that offers discounted gift certificates usable at local or national companies.",0,"0.0",0,"0.0",0,"0.0",0,"0.0","https://res.cloudinary.com/crunchbase-production/image/upload/c_pad,w_150,h_150/v1417875370/udfvdksqarx2pi0zvqgo.png","c18",0
"RBC","rbc","The Royal Bank of Canada is a Canadian multinational financial services company and the largest bank in Canada.",39,"3.5",38,"3.5",35,"3.2",49,"4.5","https://pbs.twimg.com/profile_images/840222731702587392/zr8h5kPn.jpg","c189",11
"ADP Canada","adp-canada",,4,"4.0",4,"4.0",5,"5.0",4,"4.0",,"c382",1
"Brookfield","brookfield",,3,"3.0",2,"2.0",2,"2.0",5,"5.0",,"c214",1
"integrate.ai","integrateai",,5,"5.0",5,"5.0",5,"5.0",5,"5.0",,"c365",1
"Horizn","horizn","",2,"2.0",2,"2.0",1,"1.0",5,"5.0","","c213",1
"Region of Peel","region-of-peel",,4,"4.0",4,"4.0",4,"4.0",5,"5.0",,"c252",1
